boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance
2;13;19;23;36;3
3;15;28;36;46;2
5;30;36;40;43;1
15;34;37;40;44;8
6;13;23;24;34;4
3;33;34;36;42;2
4;12;15;23;42;1
2;13;15;31;34;8
8;9;15;26;27;4
2;14;30;33;47;5
9;25;31;32;34;5
5;20;29;32;37;9
19;41;42;43;45;2
8;22;29;37;39;10
11;7;15;23;19;4
12;15;21;29;48;6
12;28;32;45;38;9
6;48;11;49;46;2
49;19;22;40;45;2
36;1;45;9;14;3
4;41;16;13;6;10
36;12;7;11;38;6
16;41;26;28;13;8
9;32;7;47;1;1
39;28;26;5;29;10
2;3;29;30;31;10
30;3;15;41;16;9
1;15;12;30;44;1
4;19;22;18;7;10
25;48;16;12;49;10
40;34;36;28;15;10
29;1;43;37;27;7
41;44;38;8;10;2
25;19;12;11;28;4
21;30;6;31;10;1
19;8;46;26;9;9
1;9;19;13;11;8
18;45;41;4;17;2
30;15;34;46;41;2
12;21;48;29;20;3
22;7;16;30;2;1
46;39;23;45;13;7
17;22;35;25;19;6
2;49;1;36;14;9
18;10;40;34;31;10
20;13;46;40;25;7
32;46;27;1;16;1
30;34;8;1;13;4
31;38;22;32;34;2
22;12;30;35;33;10
10;3;40;26;22;4
47;14;28;3;25;10
22;13;46;49;3;1
6;7;37;25;47;9
13;14;27;4;20;1
10;16;15;6;24;8
9;16;32;30;23;6
5;12;42;9;26;2
26;21;40;27;31;1
6;40;17;15;3;1
33;48;25;23;41;1
44;14;30;25;17;3
4;13;27;46;21;4
26;28;40;37;6;8
48;19;37;16;29;1
5;30;40;35;17;6
42;43;32;40;15;4
11;27;30;48;49;8
31;44;40;13;28;6
15;7;3;42;4;4
47;30;15;33;4;10
27;13;2;11;36;10
10;33;47;1;7;10
46;31;20;45;39;10
9;35;23;37;28;7
15;14;21;34;45;5
46;29;25;8;34;7
3;17;4;36;22;6
27;8;32;11;4;10
24;41;19;35;27;9
44;13;3;27;49;9
9;20;44;1;39;9
6;31;45;14;3;9
11;1;15;48;47;7
40;42;2;7;10;2
18;12;32;9;23;9
1;47;22;33;4;1
1;49;29;18;37;4
17;49;18;28;11;7
12;1;31;45;17;7
37;33;42;36;31;3
35;5;39;19;11;9
47;6;20;9;41;9
7;32;42;45;12;6
31;18;34;27;26;8
14;3;10;44;8;2
